aticker,coname,fmonth,fyear,che,ibd,teq,sale,oiadp,ni,dp,amort,avg_annual_mktcap,ticker
A035250,강원랜드,12.0,2023,166186546000.0,57121432000.0,3677900816260.0,1388572378270.0,282263014860.0,340880761170.0,79507233220.0,978182970.0,3823152000000.0,35250
A000150,두산,12.0,2023,3539166947000.0,7807001695500.0,11206738545700.0,19130129881900.0,1436262204450.0,272073643930.0,547504372000.0,156844000000.0,1573258000000.0,150
A175330,JB금융지주,12.0,2023,1621382000000.0,13364232000000.0,5115950000000.0,3395912000000.0,799978000000.0,603924000000.0,94192000000.0,0.0,1845850000000.0,175330
A028050,삼성E&A,12.0,2023,915023633000.0,142509678030.0,3298338295970.0,10624917993590.0,993128866190.0,695607943010.0,43535636000.0,21777385000.0,5671800000000.0,28050
A128940,한미약품,12.0,2023,54980324000.0,572867266000.0,1100210644150.0,1490887463720.0,220691065030.0,165366177830.0,86022038170.0,12431941490.0,3682005000000.0,128940
A141080,리가켐바이오,12.0,2023,63053956000.0,12643935240.0,148221267200.0,34145640060.0,-80822342650.0,-73703570470.0,3053074000.0,1618864000.0,1033938000000.0,141080
A145020,휴젤,12.0,2023,106013880000.0,90522708730.0,779678035470.0,319699941150.0,117781785960.0,97660299620.0,9406208000.0,4454163000.0,1570511000000.0,145020
A022100,포스코DX,12.0,2023,60162678000.0,2420722000.0,461449382200.0,1485875620930.0,110563784590.0,92128228460.0,7547292000.0,2747471000.0,4253379000000.0,22100
A039490,키움증권,12.0,2023,1588864179000.0,20025647325100.0,4904099124220.0,1159634616400.0,564659042170.0,440737008030.0,40897614290.0,0.0,2520840000000.0,39490
A138930,BNK금융지주,12.0,2023,4861872750000.0,21851286045800.0,10673702081300.0,6691720979380.0,801174464900.0,678904864310.0,115085853090.0,90296366940.0,2215555000000.0,138930
A377300,카카오페이,12.0,2023,1136845715000.0,98560911470.0,1934775610060.0,615362834400.0,-56589696680.0,-22906723270.0,27719149000.0,18881278000.0,6894682000000.0,377300
A214150,클래시스,12.0,2023,18336205000.0,65628082830.0,283500499660.0,180122798010.0,89622382060.0,74225203190.0,4025714880.0,251924160.0,1866539000000.0,214150
A000720,현대건설,12.0,2023,4205665000000.0,2396675000000.0,10455515000000.0,29651357000000.0,785430000000.0,654281000000.0,186602000000.0,9512000000.0,4126322000000.0,720
A348370,엔켐,12.0,2023,44572363000.0,334556209520.0,286448635300.0,424691399320.0,3047263240.0,-50092754330.0,12028000000.0,108000000.0,1050777000000.0,348370
A011780,금호석유,12.0,2023,452439486000.0,882883182310.0,5834019542300.0,6322528187780.0,358961881960.0,447043536110.0,243688000000.0,7551000000.0,3908274000000.0,11780
A004020,현대제철,12.0,2023,1385746851000.0,10451079905230.0,19496000328020.0,25914760456160.0,798325068070.0,442983461010.0,1554871881000.0,87356074000.0,4656468000000.0,4020
A462870,시프트업,12.0,2023,116136433000.0,12631624660.0,181058284740.0,168594168360.0,111062581630.0,106690578310.0,2181241000.0,462389000.0,,462870
A009830,한화솔루션,12.0,2023,1956040706000.0,9555275996000.0,9010546154810.0,13288744762930.0,604528962900.0,-155257718250.0,612839069000.0,65811631000.0,7141383000000.0,9830
A011170,롯데케미칼,12.0,2023,2701527699000.0,10019445482020.0,20232540579850.0,19946396629900.0,-347702499470.0,-39243085250.0,987192407000.0,185393329000.0,6918409000000.0,11170
A006260,LS,12.0,2023,1701163000000.0,7621551000000.0,6750601000000.0,24480743000000.0,901702000000.0,570596000000.0,357190000000.0,48273000000.0,2786220000000.0,6260
A001040,CJ,12.0,2023,3646474585000.0,18122481003000.0,17892818574000.0,41352688159000.0,2039057889000.0,524667990000.0,1981515913000.0,1078270267000.0,2474698000000.0,1040
A052690,한전기술,12.0,2023,52159068000.0,1390796000.0,547308411730.0,545091772610.0,28562398330.0,32654448000.0,15548235970.0,6232458260.0,2531755000000.0,52690
A277810,레인보우로보틱스,12.0,2023,90252788000.0,54747340.0,130656200150.0,15258134870.0,-44589778380.0,-842680470.0,750726000.0,52969000.0,2281317000000.0,277810
A026960,동서,12.0,2023,35097497000.0,2748403260.0,1622874727790.0,489695541560.0,43752486840.0,146302302440.0,4590873000.0,145097000.0,1883121000000.0,26960
A000250,삼천당제약,12.0,2023,40427236000.0,53624933140.0,298460071930.0,192668515620.0,9559814330.0,-4187753540.0,7989571660.0,440862160.0,1512554000000.0,250
A263750,펄어비스,12.0,2023,235673155000.0,247717213140.0,724990449520.0,333484523000.0,-16350059650.0,15206477530.0,16943778870.0,9105356120.0,3001194000000.0,263750
A001450,현대해상,12.0,2023,1444951209000.0,1085116976600.0,6055391876250.0,13181325183390.0,788215580220.0,607828607000.0,79006528000.0,37120941000.0,2854049000000.0,1450
A081660,휠라홀딩스,12.0,2023,585613513000.0,1490987561000.0,2553918905270.0,4006627455510.0,303493542620.0,153056827030.0,92402486000.0,40464890000.0,2286379000000.0,81660
A058470,리노공업,12.0,2023,34165877000.0,182201990.0,557074198060.0,255573034650.0,114378400290.0,110923015440.0,13648629000.0,222404000.0,2379210000000.0,58470
A088350,한화생명,12.0,2023,5267915428000.0,10982132757560.0,15475087526210.0,9810510322000.0,1057044424910.0,825980778270.0,84379000000.0,77826000000.0,2275620000000.0,88350
A007070,GS리테일,12.0,2023,431765530000.0,3367599212230.0,4433739107730.0,11612547920730.0,393955339630.0,22147526370.0,678832000000.0,42889000000.0,2657484000000.0,7070
A012750,에스원,12.0,2023,241861776000.0,38848916930.0,1597906768650.0,2620810541510.0,212609320690.0,189480545860.0,174550606370.0,0.0,2137120000000.0,12750
A035900,JYP Ent.,12.0,2023,217189673000.0,10040102000.0,398042670930.0,566500542870.0,169443909940.0,105016740740.0,5732826690.0,5322272690.0,3545609000000.0,35900
A403870,HPSP,12.0,2023,43324483000.0,2235190990.0,277080288650.0,179086660830.0,95206074430.0,80432402480.0,1318213000.0,11783000.0,2296961000000.0,403870
A068760,셀트리온제약,12.0,2023,19710550000.0,162526658060.0,376665735600.0,388794335490.0,36070715960.0,21264988850.0,18712343000.0,1012680000.0,3036375000000.0,68760
A008930,한미사이언스,12.0,2023,27578959000.0,222129449860.0,787472469380.0,1247906379060.0,57011915710.0,115119858470.0,5524914010.0,3207466200.0,2454646000000.0,8930
A018880,한온시스템,12.0,2023,778560331000.0,4146406166020.0,2508486580600.0,9559328248400.0,277278601600.0,58886775460.0,418120999000.0,180294446000.0,4623906000000.0,18880
A004990,롯데지주,12.0,2023,1579854555000.0,9109059066000.0,9672841607500.0,15159775895630.0,493689284140.0,163660188550.0,751823000000.0,80961000000.0,2933626000000.0,4990
